%DataLog%
DataLogVersion : 1.1
Software : Haltech ESP
SoftwareVersion : 1.2.00.26
DownloadDateTime : 20170806 04:18:55
Channel : RPM
ID : 384
Type : EngineSpeed
DisplayMaxMin : 20000,0
Channel : Throttle Position
ID : 225
Type : Percentage
DisplayMaxMin : 1000,0
Channel : Manifold Pressure
ID : 224
Type : Pressure
DisplayMaxMin : 4013,13
Channel : Fuel Pressure
ID : 234
Type : Pressure
DisplayMaxMin : 31013,1013
Channel : Oil Pressure
ID : 236
Type : Pressure
DisplayMaxMin : 31013,1013
Channel : Wideband O2 1
ID : 230
Type : AFR
DisplayMaxMin : 1361,476
Channel : Vehicle Speed Drive Train Sensor
ID : 463
Type : Speed
DisplayMaxMin : 4000,0
Channel : Air Temperature
ID : 228
Type : Temperature
DisplayMaxMin : 4731,2332
Channel : Coolant Temperature
ID : 229
Type : Temperature
DisplayMaxMin : 4732,2332
Channel : Oil Temperature
ID : 235
Type : Temperature
DisplayMaxMin : 4732,2332
Log : 20240711 03:23:47
03:23:47.000,2510,106,425,5320,6593,1028,202,3192,3652,3627
03:23:47.054,2510,106,425,5320,6593,1028,202,3192,3652,3627
03:23:47.112,2502,,424,,,,202,,,3627
03:23:47.168,2498,,424,,,1028,207,,,3629
03:23:47.219,2506,,423,,,,209,3192,,3629
03:23:47.270,2525,,,,,1036,209,3191,,3625
03:23:47.323,2544,,423,,,,203,,,3625
03:23:47.373,2556,,421,,,1040,212,,,3626
03:23:47.424,2560,106,419,,,,212,,,3626
03:23:47.484,2556,105,418,,,1032,214,,,3625
03:23:47.537,,106,417,,,,211,,,3625
03:23:47.588,2556,,416,,,1036,205,3191,,3626
03:23:47.642,2564,,415,,,,211,3190,,
03:23:47.693,2575,,414,,,1048,211,,,
03:23:47.746,2587,106,411,,,,216,,,
03:23:47.800,2604,105,410,,,1050,216,,3652,
03:23:47.852,2608,104,410,,,,208,,3653,
03:23:47.911,,104,406,,,1051,215,,,3626
03:23:47.961,2608,103,403,,,,217,,,3625
03:23:48.017,2616,,401,5311,6658,1055,218,,,3625
03:23:48.074,2628,103,398,,,,218,,,3627
